N,P,K,temperature,humidity,ph,rainfall,season,label
90,42,43,30.0,65,6.8,110,monsoon,rice
85,58,41,29.5,67,7.0,115,monsoon,rice
60,55,44,28.0,70,7.1,160,winter,wheat
55,40,38,27.5,72,6.9,140,winter,wheat
40,35,40,28.5,75,7.2,170,monsoon,maize
35,30,38,26.5,75,6.8,150,monsoon,maize
100,50,48,31.0,65,6.8,120,summer,sugarcane
50,48,46,28.5,70,7.1,90,winter,barley
60,50,55,27.0,68,6.9,170,monsoon,paddy
45,35,40,28.0,70,6.8,150,monsoon,groundnut
70,60,50,30.5,70,6.8,110,summer,cotton
80,55,60,29.0,65,6.7,105,summer,cotton
30,25,30,28.0,60,6.5,70,winter,peas
25,20,25,29.0,65,6.7,80,winter,peas
90,60,70,26.0,75,6.8,180,monsoon,sorghum
95,65,75,27.0,70,6.9,175,monsoon,sorghum
55,45,40,29.0,68,6.9,100,winter,oats
50,40,38,28.0,66,6.8,95,winter,oats
70,60,65,28.5,72,6.7,185,monsoon,soybean
75,65,70,29.0,75,6.8,190,monsoon,soybean
60,55,50,30.0,72,6.6,120,summer,sunflower
65,60,55,31.0,74,6.7,115,summer,sunflower
40,30,35,28.0,60,6.8,60,winter,mustard
45,35,40,28.5,65,6.9,65,winter,mustard
100,80,90,27.0,68,6.9,200,monsoon,sugarcane
110,85,95,28.0,70,7.0,180,monsoon,sugarcane
70,40,45,30.0,70,6.8,100,summer,cotton
80,50,40,29.5,65,6.8,110,summer,jute
60,35,40,31.0,65,6.9,90,winter,potato
50,30,35,22.0,60,6.5,60,winter,mustard
45,35,40,28.0,75,6.2,160,monsoon,soybean
55,40,45,27.5,70,6.8,150,monsoon,pigeonpea
